K	T	s
3	1	0.0639
4	1	0.0967
5	1	0.1446
6	1	0.1815
7	1	0.2379
8	1	0.3067
9	1	0.3694
10	1	0.4540
11	1	0.5374
12	1	0.6399
13	1	0.7318
14	1	0.8540
15	1	0.9687
3	2	0.0382
4	2	0.0539
5	2	0.0733
6	2	0.1011
7	2	0.1380
8	2	0.1594
9	2	0.2315
10	2	0.2341
11	2	0.2904
12	2	0.3510
13	2	0.5145
14	2	0.4486
15	2	0.5113
3	4	0.0212
4	4	0.0300
5	4	0.0417
6	4	0.0754
7	4	0.0647
8	4	0.0807
9	4	0.1167
10	4	0.1252
11	4	0.2222
12	4	0.1728
13	4	0.1921
14	4	0.2277
15	4	0.2612
3	8	0.0221
4	8	0.0218
5	8	0.0405
7	8	0.0374
8	8	0.1049
9	8	0.1783
10	8	0.1341
11	8	0.1153
12	8	0.1457
13	8	0.1578
14	8	0.2857
15	8	0.1334
3	16	0.0098
4	16	0.0197
5	16	0.0120
6	16	0.0444
7	16	0.0863
8	16	0.0705
9	16	0.1605
10	16	0.1731
11	16	0.1236
12	16	0.1986
13	16	0.1215
14	16	0.0769
15	16	0.0936
